config_id,lr,dropout,activation,batch_size,val_auc,train_auc,auc_gap
1,0.0005,0.2,SiLU,1024,0.9912043070219262,0.998621502922917,0.007417195900990725
2,0.0005,0.2,SiLU,2056,0.9914594685451451,0.9983616301742133,0.006902161629068093
3,0.0005,0.2,GELU,1024,0.990008351075382,0.9990482827240472,0.0090399316486651
4,0.0005,0.2,GELU,2056,0.9899030416573353,0.9990844101123846,0.009181368455049244
5,0.0005,0.5,SiLU,1024,0.992343229740747,0.9973395987008663,0.004996368960119413
6,0.0005,0.5,SiLU,2056,0.9924495858635618,0.9972675496664474,0.004817963802885639
7,0.0005,0.5,GELU,1024,0.9921956726784138,0.9978975503683103,0.005701877689896451
8,0.0005,0.5,GELU,2056,0.9921593915414896,0.9976988536319646,0.005539462090475245
9,0.0001,0.2,SiLU,1024,0.9919241381247252,0.997749358188524,0.005825220063798797
10,0.0001,0.2,SiLU,2056,0.9918712184654389,0.997491687267904,0.005620468802465051
11,0.0001,0.2,GELU,1024,0.9904077128288412,0.9984617792356634,0.008054066406822002
12,0.0001,0.2,GELU,2056,0.9903112689922067,0.9976213399037951,0.007310070911588462
13,0.0001,0.5,SiLU,1024,0.9924409164403085,0.9960401602573358,0.0035992438170271866
14,0.0001,0.5,SiLU,2056,0.9925222123165313,0.996193088526568,0.003670876210036833
15,0.0001,0.5,GELU,1024,0.992136684969078,0.9966541634182878,0.0045174784492096
16,0.0001,0.5,GELU,2056,0.9923651577055681,0.9968186944004509,0.004453536694882909
17,5e-05,0.2,SiLU,1024,0.9916165904834872,0.9968715603097129,0.0052549698262259305
18,5e-05,0.2,SiLU,2056,0.9916433694956683,0.9969517551267841,0.005308385631115709
19,5e-05,0.2,GELU,1024,0.9900232791831443,0.9971954651912995,0.007172186008155212
20,5e-05,0.2,GELU,2056,0.9901093324436443,0.9974839675987613,0.007374635155116938
21,5e-05,0.5,SiLU,1024,0.9924589395915635,0.9958593607941696,0.0034004212026058855
22,5e-05,0.5,SiLU,2056,0.9923571027833971,0.9957358627040034,0.003378759920606389
23,5e-05,0.5,GELU,1024,0.9922426983257541,0.996461798576426,0.00421910025067207
24,5e-05,0.5,GELU,2056,0.9921845189334544,0.9964017822005541,0.004217263267099658
